Username,Content,translated_experience,lowercased,emojis_removed,slangs_replaced,contractions_replaced,punctuations_removed,numbers_removed,spelling_corrected,stopwords_removed,stemmed_words,lemmatized
reenie1616," long distance during college was lowkey the best thing for my relationship, we would not be as strong and healthy and individually as successful if we werent LD","long distance during college was lowkey the best thing for my relationship, we would not be as strong and healthy and individually as successful if we werent LD","long distance during college was lowkey the best thing for my relationship, we would not be as strong and healthy and individually as successful if we werent ld","long distance during college was lowkey the best thing for my relationship, we would not be as strong and healthy and individually as successful if we werent ld","long distance during college was lowkey the best thing for my relationship, we would not be as strong and healthy and individually as successful if we werent ld","long distance during college was lowkey the best thing for my relationship, we would not be as strong and healthy and individually as successful if we werent ld",long distance during college was lowkey the best thing for my relationship we would not be as strong and healthy and individually as successful if we werent ld,long distance during college was lowkey the best thing for my relationship we would not be as strong and healthy and individually as successful if we werent ld,long distance during college was hockey the best thing for my relationship we would not be as strong and healthy and individually as successful if we weren ld,long distance college hockey best thing relationship would strong healthy individually successful ld,long distanc colleg hockey best thing relationship would strong healthi individu success ld,long distance college hockey best thing relationship would strong healthy individually successful ld
lovehustle_diaries,"Long distance isn't for the weak. On my quiet days, I wish we didn't have to deal with time zones, missed calls, and empty hugs. I wish we could go on random dates, hold each other during rough days, or just exist side by side.But more than the ache of distance, I carry this bigger kind of love - the kind that still roots for you even when you're far away. I want to see you win, to be healthy, happy, and fulfilled. Because love isn't just about being together physically. It's about growing, sacrificing, and holding on to hope - that one day, all this distance will turn into a home we finally share????????","Long distance isn't for the weak. On my quiet days, I wish we didn't have to deal with time zones, missed calls, and empty hugs. I wish we could go on random dates, hold each other during rough days, or just exist side by side.But more than the ache of distance, I carry this bigger kind of love - the kind that still roots for you even when you're far away. I want to see you win, to be healthy, happy, and fulfilled. Because love isn't just about being together physically. It's about growing, sacrificing, and holding on to hope - that one day, all this distance will turn into a home we finally share????????","long distance isn't for the weak. on my quiet days, i wish we didn't have to deal with time zones, missed calls, and empty hugs. i wish we could go on random dates, hold each other during rough days, or just exist side by side.but more than the ache of distance, i carry this bigger kind of love - the kind that still roots for you even when you're far away. i want to see you win, to be healthy, happy, and fulfilled. because love isn't just about being together physically. it's about growing, sacrificing, and holding on to hope - that one day, all this distance will turn into a home we finally share????????","long distance isn't for the weak. on my quiet days, i wish we didn't have to deal with time zones, missed calls, and empty hugs. i wish we could go on random dates, hold each other during rough days, or just exist side by side.but more than the ache of distance, i carry this bigger kind of love - the kind that still roots for you even when you're far away. i want to see you win, to be healthy, happy, and fulfilled. because love isn't just about being together physically. it's about growing, sacrificing, and holding on to hope - that one day, all this distance will turn into a home we finally share????????","long distance isn't for the weak. on my quiet days, i wish we didn't have to deal with time zones, missed calls, and empty hugs. i wish we could go on random dates, hold each other during rough days, or just exist side by side.but more than the ache of distance, i carry this bigger kind of love - the kind that still roots for you even when you're far away. i want to see you win, to be healthy, happy, and fulfilled. because love isn't just about being together physically. it's about growing, sacrificing, and holding on to hope - that one day, all this distance will turn into a home we finally share????????","long distance is not for the weak. on my quiet days, i wish we did not have to deal with time zones, missed calls, and empty hugs. i wish we could go on random dates, hold each other during rough days, or just exist side by side.but more than the ache of distance, i carry this bigger kind of love - the kind that still roots for you even when you are far away. i want to see you win, to be healthy, happy, and fulfilled. because love is not just about being together physically. it is about growing, sacrificing, and holding on to hope - that one day, all this distance will turn into a home we finally share????????",long distance is not for the weak on my quiet days i wish we did not have to deal with time zones missed calls and empty hugs i wish we could go on random dates hold each other during rough days or just exist side by sidebut more than the ache of distance i carry this bigger kind of love  the kind that still roots for you even when you are far away i want to see you win to be healthy happy and fulfilled because love is not just about being together physically it is about growing sacrificing and holding on to hope  that one day all this distance will turn into a home we finally share,long distance is not for the weak on my quiet days i wish we did not have to deal with time zones missed calls and empty hugs i wish we could go on random dates hold each other during rough days or just exist side by sidebut more than the ache of distance i carry this bigger kind of love  the kind that still roots for you even when you are far away i want to see you win to be healthy happy and fulfilled because love is not just about being together physically it is about growing sacrificing and holding on to hope  that one day all this distance will turn into a home we finally share,long distance is not for the weak on my quiet days i wish we did not have to deal with time zones missed calls and empty hugs i wish we could go on random dates hold each other during rough days or just exist side by debut more than the acre of distance i carry this bigger kind of love the kind that still roots for you even when you are far away i want to see you win to be healthy happy and fulfilled because love is not just about being together physically it is about growing sacrificing and holding on to hope that one day all this distance will turn into a home we finally share,long distance weak quiet days wish deal time zones missed calls empty hugs wish could go random dates hold rough days exist side debut acre distance carry bigger kind love kind still roots even far away want see win healthy happy fulfilled love together physically growing sacrificing holding hope one day distance turn home finally share,long distanc weak quiet day wish deal time zone miss call empti hug wish could go random date hold rough day exist side debut acr distanc carri bigger kind love kind still root even far away want see win healthi happi fulfil love togeth physic grow sacrif hold hope one day distanc turn home final share,long distance weak quiet day wish deal time zone miss call empty hug wish could go random date hold rough day exist side debut acre distance carry big kind love kind still root even far away want see win healthy happy fulfil love together physically grow sacrifice hold hope one day distance turn home finally share
elysegallagher21,I fear long distance just makes me more more independent and a girl boss but the moment I'm with him i know I'm taken care of and honestly it's the best,I fear long distance just makes me more more independent and a girl boss but the moment I'm with him i know I'm taken care of and honestly it's the best,i fear long distance just makes me more more independent and a girl boss but the moment i'm with him i know i'm taken care of and honestly it's the best,i fear long distance just makes me more more independent and a girl boss but the moment i'm with him i know i'm taken care of and honestly it's the best,i fear long distance just makes me more more independent and a girl boss but the moment i'm with him i know i'm taken care of and honestly it's the best,i fear long distance just makes me more more independent and a girl boss but the moment i am with him i know i am taken care of and honestly it is the best,i fear long distance just makes me more more independent and a girl boss but the moment i am with him i know i am taken care of and honestly it is the best,i fear long distance just makes me more more independent and a girl boss but the moment i am with him i know i am taken care of and honestly it is the best,i fear long distance just makes me more more independent and a girl boss but the moment i am with him i know i am taken care of and honestly it is the best,fear long distance makes independent girl boss moment know taken care honestly best,fear long distanc make independ girl boss moment know taken care honestli best,fear long distance make independent girl bos moment know take care honestly best
annnnna_c,Long distance ended my relationship ??,Long distance ended my relationship ??,long distance ended my relationship ??,long distance ended my relationship ??,long distance ended my relationship ??,long distance ended my relationship ??,long distance ended my relationship ,long distance ended my relationship ,long distance ended my relationship,long distance ended relationship,long distanc end relationship,long distance end relationship
vesselsxx,"i was in a LDR for 5 yrs, things gotten very overwhelming for both of us mentally. we call it quits after really trying hard. knowing anyone in a LDR, that gotten to marriage just makes me smile. if his the right guy, right time, hang on. time will tell.","i was in a LDR for 5 yrs, things gotten very overwhelming for both of us mentally. we call it quits after really trying hard. knowing anyone in a LDR, that gotten to marriage just makes me smile. if his the right guy, right time, hang on. time will tell.","i was in a ldr for 5 yrs, things gotten very overwhelming for both of us mentally. we call it quits after really trying hard. knowing anyone in a ldr, that gotten to marriage just makes me smile. if his the right guy, right time, hang on. time will tell.","i was in a ldr for 5 yrs, things gotten very overwhelming for both of us mentally. we call it quits after really trying hard. knowing anyone in a ldr, that gotten to marriage just makes me smile. if his the right guy, right time, hang on. time will tell.","i was in a ldr for 5 yrs, things gotten very overwhelming for both of us mentally. we call it quits after really trying hard. knowing anyone in a ldr, that gotten to marriage just makes me smile. if his the right guy, right time, hang on. time will tell.","i was in a ldr for 5 yrs, things gotten very overwhelming for both of us mentally. we call it quits after really trying hard. knowing anyone in a ldr, that gotten to marriage just makes me smile. if his the right guy, right time, hang on. time will tell.",i was in a ldr for 5 yrs things gotten very overwhelming for both of us mentally we call it quits after really trying hard knowing anyone in a ldr that gotten to marriage just makes me smile if his the right guy right time hang on time will tell,i was in a ldr for  yrs things gotten very overwhelming for both of us mentally we call it quits after really trying hard knowing anyone in a ldr that gotten to marriage just makes me smile if his the right guy right time hang on time will tell,i was in a ldr for yrs things gotten very overwhelming for both of us mentally we call it quits after really trying hard knowing anyone in a ldr that gotten to marriage just makes me smile if his the right guy right time hang on time will tell,ldr yrs things gotten overwhelming us mentally call quits really trying hard knowing anyone ldr gotten marriage makes smile right guy right time hang time tell,ldr yr thing gotten overwhelm us mental call quit realli tri hard know anyon ldr gotten marriag make smile right guy right time hang time tell,ldr yrs thing get overwhelm u mentally call quits really try hard know anyone ldr gotten marriage make smile right guy right time hang time tell
adelina1796,Long distance is the hardest but so so worth it!!! ??,Long distance is the hardest but so so worth it!!! ??,long distance is the hardest but so so worth it!!! ??,long distance is the hardest but so so worth it!!! ??,long distance is the hardest but so so worth it!!! ??,long distance is the hardest but so so worth it!!! ??,long distance is the hardest but so so worth it ,long distance is the hardest but so so worth it ,long distance is the hardest but so so worth it,long distance hardest worth,long distanc hardest worth,long distance hard worth
onlinebookshelf_,Agreed!! I never thought I'd want an LDR but me and my bf fell in love and LDR makes our relationship deeper. I know his soul,Agreed!! I never thought I'd want an LDR but me and my bf fell in love and LDR makes our relationship deeper. I know his soul,agreed!! i never thought i'd want an ldr but me and my bf fell in love and ldr makes our relationship deeper. i know his soul,agreed!! i never thought i'd want an ldr but me and my bf fell in love and ldr makes our relationship deeper. i know his soul,agreed!! i never thought i'd want an ldr but me and my bf fell in love and ldr makes our relationship deeper. i know his soul,agreed!! i never thought i would want an ldr but me and my bf fell in love and ldr makes our relationship deeper. i know his soul,agreed i never thought i would want an ldr but me and my bf fell in love and ldr makes our relationship deeper i know his soul,agreed i never thought i would want an ldr but me and my bf fell in love and ldr makes our relationship deeper i know his soul,agreed i never thought i would want an ldr but me and my bf fell in love and ldr makes our relationship deeper i know his soul,agreed never thought would want ldr bf fell love ldr makes relationship deeper know soul,agre never thought would want ldr bf fell love ldr make relationship deeper know soul,agree never think would want ldr bf fell love ldr make relationship deeper know soul
piapatell22,The older daughter syndrome works well for long distance,The older daughter syndrome works well for long distance,the older daughter syndrome works well for long distance,the older daughter syndrome works well for long distance,the older daughter syndrome works well for long distance,the older daughter syndrome works well for long distance,the older daughter syndrome works well for long distance,the older daughter syndrome works well for long distance,the older daughter syndrome works well for long distance,older daughter syndrome works well long distance,older daughter syndrom work well long distanc,old daughter syndrome work well long distance
tyjoshty,my long distance partner broke up with me yesterday and I feel empty,my long distance partner broke up with me yesterday and I feel empty,my long distance partner broke up with me yesterday and i feel empty,my long distance partner broke up with me yesterday and i feel empty,my long distance partner broke up with me yesterday and i feel empty,my long distance partner broke up with me yesterday and i feel empty,my long distance partner broke up with me yesterday and i feel empty,my long distance partner broke up with me yesterday and i feel empty,my long distance partner broke up with me yesterday and i feel empty,long distance partner broke yesterday feel empty,long distanc partner broke yesterday feel empti,long distance partner break yesterday feel empty
likahadii,"LDR isn't always hard, saling mengerti kalo sama2 punya tujuan, keperluan dan sama2 punya hal yang di lakukan, jadinya ga ada yang bosen yang malah jadinya tergantung sama yang lain","LDR isn't always hard, understand each other if you both have goals, needs and both have things to do, so no one gets bored and instead becomes dependent on the other","ldr isn't always hard, understand each other if you both have goals, needs and both have things to do, so no one gets bored and instead becomes dependent on the other","ldr isn't always hard, understand each other if you both have goals, needs and both have things to do, so no one gets bored and instead becomes dependent on the other","ldr isn't always hard, understand each other if you both have goals, needs and both have things to do, so no one gets bored and instead becomes dependent on the other","ldr is not always hard, understand each other if you both have goals, needs and both have things to do, so no one gets bored and instead becomes dependent on the other",ldr is not always hard understand each other if you both have goals needs and both have things to do so no one gets bored and instead becomes dependent on the other,ldr is not always hard understand each other if you both have goals needs and both have things to do so no one gets bored and instead becomes dependent on the other,ldr is not always hard understand each other if you both have goals needs and both have things to do so no one gets bored and instead becomes dependent on the other,ldr always hard understand goals needs things one gets bored instead becomes dependent,ldr alway hard understand goal need thing one get bore instead becom depend,ldr always hard understand goal need thing one get bore instead become dependent
shootaa_03," Thank god we only met once while long distance and that was the day I moved in,I couldn't imagine having to say goodbye to her","Thank god we only met once while long distance and that was the day I moved in,I couldn't imagine having to say goodbye to her","thank god we only met once while long distance and that was the day i moved in,i couldn't imagine having to say goodbye to her","thank god we only met once while long distance and that was the day i moved in,i couldn't imagine having to say goodbye to her","thank god we only met once while long distance and that was the day i moved in,i couldn't imagine having to say goodbye to her","thank god we only met once while long distance and that was the day i moved in,i could not imagine having to say goodbye to her",thank god we only met once while long distance and that was the day i moved ini could not imagine having to say goodbye to her,thank god we only met once while long distance and that was the day i moved ini could not imagine having to say goodbye to her,thank god we only met once while long distance and that was the day i moved ini could not imagine having to say goodbye to her,thank god met long distance day moved ini could imagine say goodbye,thank god met long distanc day move ini could imagin say goodby,thank god meet long distance day move ini could imagine say goodbye
jennyvillanueva.p,"Ldr is considered the highest standard of love devotion. Because loving someone without seeing them everyday is a proof that love is not only infront of your eyes, but also in our heart","Ldr is considered the highest standard of love devotion. Because loving someone without seeing them everyday is a proof that love is not only infront of your eyes, but also in our heart","ldr is considered the highest standard of love devotion. because loving someone without seeing them everyday is a proof that love is not only infront of your eyes, but also in our heart","ldr is considered the highest standard of love devotion. because loving someone without seeing them everyday is a proof that love is not only infront of your eyes, but also in our heart","ldr is considered the highest standard of love devotion. because loving someone without seeing them everyday is a proof that love is not only infront of your eyes, but also in our heart","ldr is considered the highest standard of love devotion. because loving someone without seeing them everyday is a proof that love is not only infront of your eyes, but also in our heart",ldr is considered the highest standard of love devotion because loving someone without seeing them everyday is a proof that love is not only infront of your eyes but also in our heart,ldr is considered the highest standard of love devotion because loving someone without seeing them everyday is a proof that love is not only infront of your eyes but also in our heart,ldr is considered the highest standard of love devotion because loving someone without seeing them everyday is a proof that love is not only front of your eyes but also in our heart,ldr considered highest standard love devotion loving someone without seeing everyday proof love front eyes also heart,ldr consid highest standard love devot love someon without see everyday proof love front eye also heart,ldr consider high standard love devotion love someone without see everyday proof love front eye also heart
anel.vanessa.1,"Here almost 7 years in long distance relationship, and we are getting married very soon ???","Here almost 7 years in long distance relationship, and we are getting married very soon ???","here almost 7 years in long distance relationship, and we are getting married very soon ???","here almost 7 years in long distance relationship, and we are getting married very soon ???","here almost 7 years in long distance relationship, and we are getting married very soon ???","here almost 7 years in long distance relationship, and we are getting married very soon ???",here almost 7 years in long distance relationship and we are getting married very soon ,here almost  years in long distance relationship and we are getting married very soon ,here almost years in long distance relationship and we are getting married very soon,almost years long distance relationship getting married soon,almost year long distanc relationship get marri soon,almost year long distance relationship get marry soon
jessie_xoxo22,"Honestly, it's the best relationship I've ever been in. We're 276 miles apart but soon to be closing that gap ??","Honestly, it's the best relationship I've ever been in. We're 276 miles apart but soon to be closing that gap ??","honestly, it's the best relationship i've ever been in. we're 276 miles apart but soon to be closing that gap ??","honestly, it's the best relationship i've ever been in. we're 276 miles apart but soon to be closing that gap ??","honestly, it's the best relationship i've ever been in. we're 276 miles apart but soon to be closing that gap ??","honestly, it is the best relationship i have ever been in. we are 276 miles apart but soon to be closing that gap ??",honestly it is the best relationship i have ever been in we are 276 miles apart but soon to be closing that gap ,honestly it is the best relationship i have ever been in we are  miles apart but soon to be closing that gap ,honestly it is the best relationship i have ever been in we are miles apart but soon to be closing that gap,honestly best relationship ever miles apart soon closing gap,honestli best relationship ever mile apart soon close gap,honestly best relationship ever mile apart soon close gap
shalynstark,"this is so real omg (me and my bf are in a ldr) and yess omg i try telling this to everyone cus the first thing people say when i say we're in a ldr is ""aw im sorry"" or smth like that but nooo the connection we've built is so strong and genuine, and yes ofc it sucks not being able to hold him but it makes it so worth the wait and so exciting when i do get to see him again ??","this is so real omg (me and my bf are in a ldr) and yess omg i try telling this to everyone cus the first thing people say when i say we're in a ldr is ""aw im sorry"" or smth like that but nooo the connection we've built is so strong and genuine, and yes ofc it sucks not being able to hold him but it makes it so worth the wait and so exciting when i do get to see him again ??","this is so real omg (me and my bf are in a ldr) and yess omg i try telling this to everyone cus the first thing people say when i say we're in a ldr is ""aw im sorry"" or smth like that but nooo the connection we've built is so strong and genuine, and yes ofc it sucks not being able to hold him but it makes it so worth the wait and so exciting when i do get to see him again ??","this is so real omg (me and my bf are in a ldr) and yess omg i try telling this to everyone cus the first thing people say when i say we're in a ldr is ""aw im sorry"" or smth like that but nooo the connection we've built is so strong and genuine, and yes ofc it sucks not being able to hold him but it makes it so worth the wait and so exciting when i do get to see him again ??","this is so real oh my god (me and my bf are in a ldr) and yess oh my god i try telling this to everyone cus the first thing people say when i say we're in a ldr is ""aw im sorry"" or smth like that but nooo the connection we've built is so strong and genuine, and yes ofc it sucks not being able to hold him but it makes it so worth the wait and so exciting when i do get to see him again ??","this is so real oh my god (me and my bf are in a ldr) and yess oh my god i try telling this to everyone cus the first thing people say when i say we are in a ldr is ""aw im sorry"" or smth like that but nooo the connection we have built is so strong and genuine, and yes ofc it sucks not being able to hold him but it makes it so worth the wait and so exciting when i do get to see him again ??",this is so real oh my god me and my bf are in a ldr and yess oh my god i try telling this to everyone cus the first thing people say when i say we are in a ldr is aw im sorry or smth like that but nooo the connection we have built is so strong and genuine and yes ofc it sucks not being able to hold him but it makes it so worth the wait and so exciting when i do get to see him again ,this is so real oh my god me and my bf are in a ldr and yess oh my god i try telling this to everyone cus the first thing people say when i say we are in a ldr is aw im sorry or smth like that but nooo the connection we have built is so strong and genuine and yes ofc it sucks not being able to hold him but it makes it so worth the wait and so exciting when i do get to see him again ,this is so real oh my god me and my bf are in a ldr and yes oh my god i try telling this to everyone us the first thing people say when i say we are in a ldr is aw im sorry or smith like that but noon the connection we have built is so strong and genuine and yes ofc it sucks not being able to hold him but it makes it so worth the wait and so exciting when i do get to see him again,real oh god bf ldr yes oh god try telling everyone us first thing people say say ldr aw im sorry smith like noon connection built strong genuine yes ofc sucks able hold makes worth wait exciting get see,real oh god bf ldr ye oh god tri tell everyon us first thing peopl say say ldr aw im sorri smith like noon connect built strong genuin ye ofc suck abl hold make worth wait excit get see,real oh god bf ldr yes oh god try tell everyone u first thing people say say ldr aw im sorry smith like noon connection build strong genuine yes ofc suck able hold make worth wait excite get see
rvtt1ngboii,"in a long distance relationship currently, it IS hard but thats what makes it special when we see eachother. The moment i touch his skin i am instantly home again. ??","in a long distance relationship currently, it IS hard but thats what makes it special when we see eachother. The moment i touch his skin i am instantly home again. ??","in a long distance relationship currently, it is hard but thats what makes it special when we see eachother. the moment i touch his skin i am instantly home again. ??","in a long distance relationship currently, it is hard but thats what makes it special when we see eachother. the moment i touch his skin i am instantly home again. ??","in a long distance relationship currently, it is hard but thats what makes it special when we see eachother. the moment i touch his skin i am instantly home again. ??","in a long distance relationship currently, it is hard but thats what makes it special when we see eachother. the moment i touch his skin i am instantly home again. ??",in a long distance relationship currently it is hard but thats what makes it special when we see eachother the moment i touch his skin i am instantly home again ,in a long distance relationship currently it is hard but thats what makes it special when we see eachother the moment i touch his skin i am instantly home again ,in a long distance relationship currently it is hard but thats what makes it special when we see eachother the moment i touch his skin i am instantly home again,long distance relationship currently hard thats makes special see eachother moment touch skin instantly home,long distanc relationship current hard that make special see eachoth moment touch skin instantli home,long distance relationship currently hard thats make special see eachother moment touch skin instantly home
